Variable,Level,Count,Count_1,Count_0,Count_MISSING,Percentage,Percentage_1,Percentage_0,Percentage_MISSING
gear,3,14,7,7,0,0.5,0.583333333,0.4375,0
gear,4,9,1,8,0,0.321428571,0.083333333,0.5,0
gear,5,5,4,1,0,0.178571429,0.333333333,0.0625,0
example,blue,9,8,1,0,0.5625,0.727272727,0.5,0
example,white,2,1,1,0,0.125,0.090909091,0.5,0
example,red,1,1,0,0,0.0625,0.090909091,0,0
example,purple,1,1,0,0,0.0625,0.090909091,0,0
example,green,1,0,0,1,0.0625,0,0,0.333333333
example,yellow,1,0,0,1,0.0625,0,0,0.333333333
example,orange,1,0,0,1,0.0625,0,0,0.333333333
